-num, -same, 5, 0, 1, +before, 1, -coref.
+num, -same, 5, 0, 1, +before, 0, -coref.
-num, -same, 4, 1, 1, +before, 1, -coref.
+num, -same, 4, 1, 1, +before, 0, -coref.
-num, -same, 3, 2, 1, +before, 0, -coref.
-num, -same, 2, 3, 1, +before, 1, -coref.
+num, -same, 2, 3, 1, +before, 0, -coref.
-num, -same, 1, 4, 1, +before, 1, -coref.
+num, -same, 1, 4, 1, +before, 0, -coref.
-num, +same, 0, 0, 1, +before, 1, -coref.
+num, +same, 0, 0, 1, +before, 0, +coref.
+num, +same, 0, 2, 1, -before, 0, +coref.

+num, -same, 4, 0, 1, +before, 1, -coref.
+num, -same, 4, 0, 1, +before, 1, -coref.
-num, -same, 4, 0, 1, +before, 0, -coref.
-num, -same, 3, 1, 1, +before, 0, -coref.
+num, -same, 2, 2, 1, +before, 1, -coref.
+num, -same, 2, 2, 1, +before, 0, -coref.
-num, -same, 1, 3, 1, +before, 0, -coref.
+num, +same, 0, 0, 1, +before, 1, -coref.
+num, +same, 0, 0, 1, +before, 0, +coref.
+num, +same, 0, 2, 1, -before, 0, -coref.
+num, +same, 1, 3, 1, -before, 0, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
-num, +same, 2, 4, 1, -before, 0, -coref.
-num, +same, 3, 5, 1, -before, 0, -coref.

+num, -same, 7, 0, 0, +before, 1, -coref.
+num, -same, 7, 0, 0, +before, 0, +coref.
+num, -same, 6, 1, 0, +before, 0, -coref.
+num, -same, 5, 2, 0, +before, 0, -coref.
+num, -same, 4, 3, 0, +before, 0, -coref.
-num, -same, 3, 4, 0, +before, 0, -coref.
+num, -same, 2, 5, 0, +before, 0, -coref.
+num, -same, 1, 6, 0, +before, 0, -coref.
+num, -same, 0, 7, 0, +before, 0, -coref.
+num, +same, 0, 1, 0, -before, 0, -coref.

+num, -same, 2, 0, 2, +before, 0, -coref.
+num, +same, 1, 0, 2, +before, 0, -coref.
+num, +same, 0, 1, 2, +before, 1, +coref.
+num, +same, 0, 1, 2, +before, 0, -coref.
+num, +same, 0, 3, 2, -before, 0, -coref.
+num, +same, 1, 4, 2, -before, 1, -coref.
-num, +same, 1, 4, 2, -before, 0, -coref.
-num, +same, 2, 5, 2, -before, 0, -coref.
-num, +same, 3, 6, 2, -before, 0, -coref.
+num, +same, 4, 7, 2, -before, 1, -coref.
-num, +same, 4, 7, 2, -before, 0, -coref.

-num, -same, 12, 0, 7, +before, 0, -coref.
-num, -same, 11, 1, 7, +before, 0, -coref.
-num, -same, 10, 2, 7, +before, 0, -coref.
-num, -same, 9, 3, 7, +before, 0, -coref.
+num, -same, 8, 4, 7, +before, 1, -coref.
-num, -same, 8, 4, 7, +before, 0, -coref.
-num, -same, 7, 5, 7, +before, 0, -coref.
+num, +same, 6, 0, 7, +before, 0, -coref.
+num, +same, 5, 1, 7, +before, 0, -coref.
+num, +same, 4, 2, 7, +before, 0, -coref.
+num, +same, 3, 3, 7, +before, 0, -coref.
+num, +same, 2, 4, 7, +before, 1, -coref.
+num, +same, 2, 4, 7, +before, 1, -coref.
-num, +same, 2, 4, 7, +before, 0, -coref.
+num, +same, 1, 5, 7, +before, 0, +coref.
+num, +same, 0, 6, 7, +before, 0, -coref.
+num, +same, 0, 8, 7, -before, 1, -coref.
+num, +same, 0, 8, 7, -before, 0, -coref.
+num, +same, 1, 9, 7, -before, 0, -coref.
+num, +same, 2, 10, 7, -before, 0, -coref.

+num, -same, 8, 0, 1, +before, 0, -coref.
+num, -same, 7, 1, 1, +before, 0, -coref.
+num, -same, 6, 2, 1, +before, 1, -coref.
-num, -same, 6, 2, 1, +before, 0, -coref.
-num, -same, 5, 3, 1, +before, 0, -coref.
-num, -same, 4, 4, 1, +before, 0, -coref.
-num, -same, 3, 5, 1, +before, 0, -coref.
+num, -same, 2, 6, 1, +before, 0, -coref.
+num, -same, 1, 7, 1, +before, 1, -coref.
-num, -same, 1, 7, 1, +before, 0, -coref.
+num, +same, 0, 0, 1, +before, 0, -coref.
-num, +same, 0, 2, 1, -before, 0, -coref.
+num, +same, 1, 3, 1, -before, 0, -coref.
+num, +same, 2, 4, 1, -before, 0, -coref.
+num, +same, 3, 5, 1, -before, 1, -coref.
+num, +same, 3, 5, 1, -before, 0, -coref.
-num, +same, 4, 6, 1, -before, 0, -coref.

+num, -same, 7, 0, 1, +before, 0, -coref.
+num, -same, 6, 1, 1, +before, 0, +coref.
-num, -same, 5, 2, 1, +before, 0, -coref.
+num, -same, 4, 3, 1, +before, 0, -coref.
+num, -same, 3, 4, 1, +before, 0, -coref.
+num, -same, 2, 5, 1, +before, 1, -coref.
+num, -same, 2, 5, 1, +before, 0, -coref.
-num, -same, 1, 6, 1, +before, 0, -coref.
+num, +same, 0, 0, 1, +before, 0, -coref.

-num, -same, 6, 0, 6, +before, 0, -coref.
+num, +same, 5, 0, 6, +before, 1, -coref.
-num, +same, 5, 0, 6, +before, 0, -coref.
+num, +same, 4, 1, 6, +before, 1, -coref.
+num, +same, 4, 1, 6, +before, 1, -coref.
+num, +same, 4, 1, 6, +before, 0, +coref.
+num, +same, 3, 2, 6, +before, 0, -coref.
-num, +same, 2, 3, 6, +before, 0, -coref.
+num, +same, 1, 4, 6, +before, 0, -coref.
+num, +same, 0, 5, 6, +before, 0, +coref.
+num, +same, 0, 7, 6, -before, 1, -coref.
+num, +same, 0, 7, 6, -before, 0, -coref.
+num, +same, 1, 8, 6, -before, 0, -coref.

-num, -same, 4, 0, 0, +before, 0, -coref.
+num, -same, 3, 1, 0, +before, 1, -coref.
-num, -same, 3, 1, 0, +before, 0, -coref.
+num, -same, 2, 2, 0, +before, 0, -coref.
+num, -same, 1, 3, 0, +before, 0, -coref.
+num, -same, 0, 4, 0, +before, 0, +coref.
+num, +same, 0, 1, 0, -before, 1, -coref.
+num, +same, 0, 1, 0, -before, 0, -coref.
+num, +same, 1, 2, 0, -before, 0, -coref.
-num, +same, 2, 3, 0, -before, 0, -coref.

+num, -same, 5, 0, 4, +before, 1, -coref.
+num, -same, 5, 0, 4, +before, 0, -coref.
+num, -same, 4, 1, 4, +before, 0, -coref.
+num, +same, 3, 0, 4, +before, 0, -coref.
+num, +same, 2, 1, 4, +before, 0, +coref.
+num, +same, 1, 2, 4, +before, 0, +coref.
+num, +same, 0, 3, 4, +before, 1, -coref.
+num, +same, 0, 3, 4, +before, 0, -coref.
+num, +same, 0, 5, 4, -before, 0, -coref.
+num, +same, 1, 6, 4, -before, 0, -coref.
-num, +same, 2, 7, 4, -before, 0, -coref.
-num, +same, 3, 8, 4, -before, 0, -coref.

+num, -same, 11, 0, 5, +before, 1, -coref.
+num, -same, 11, 0, 5, +before, 0, +coref.
+num, -same, 10, 1, 5, +before, 0, +coref.
+num, -same, 9, 2, 5, +before, 0, -coref.
-num, -same, 8, 3, 5, +before, 0, -coref.
-num, -same, 7, 4, 5, +before, 0, -coref.
-num, -same, 6, 5, 5, +before, 0, -coref.
-num, -same, 5, 6, 5, +before, 0, -coref.
-num, +same, 4, 0, 5, +before, 0, -coref.
+num, +same, 3, 1, 5, +before, 0, -coref.
+num, +same, 2, 2, 5, +before, 0, -coref.
+num, +same, 1, 3, 5, +before, 0, -coref.
+num, +same, 0, 4, 5, +before, 0, -coref.

-num, -same, 5, 0, 4, +before, 1, -coref.
+num, -same, 5, 0, 4, +before, 0, -coref.
-num, -same, 4, 1, 4, +before, 0, -coref.
+num, +same, 3, 0, 4, +before, 0, +coref.
-num, +same, 2, 1, 4, +before, 0, -coref.
-num, +same, 1, 2, 4, +before, 0, -coref.
+num, +same, 0, 3, 4, +before, 0, -coref.
-num, +same, 0, 5, 4, -before, 0, -coref.
-num, +same, 1, 6, 4, -before, 0, -coref.

+num, -same, 4, 0, 0, +before, 0, -coref.
+num, -same, 3, 1, 0, +before, 0, +coref.
-num, -same, 2, 2, 0, +before, 0, -coref.
-num, -same, 1, 3, 0, +before, 0, -coref.
-num, -same, 0, 4, 0, +before, 1, -coref.
-num, -same, 0, 4, 0, +before, 0, -coref.
-num, +same, 0, 1, 0, -before, 0, -coref.
+num, +same, 1, 2, 0, -before, 0, -coref.
+num, +same, 2, 3, 0, -before, 0, -coref.

-num, -same, 7, 0, 0, +before, 0, -coref.
-num, -same, 6, 1, 0, +before, 0, -coref.
+num, -same, 5, 2, 0, +before, 1, -coref.
+num, -same, 5, 2, 0, +before, 0, -coref.
-num, -same, 4, 3, 0, +before, 0, -coref.
+num, -same, 3, 4, 0, +before, 0, -coref.
+num, -same, 2, 5, 0, +before, 1, -coref.
+num, -same, 2, 5, 0, +before, 1, -coref.
+num, -same, 2, 5, 0, +before, 0, -coref.
+num, -same, 1, 6, 0, +before, 0, +coref.
-num, -same, 0, 7, 0, +before, 0, -coref.
+num, +same, 0, 1, 0, -before, 0, -coref.
+num, +same, 1, 2, 0, -before, 0, -coref.
-num, +same, 2, 3, 0, -before, 0, -coref.
+num, +same, 3, 4, 0, -before, 0, -coref.
+num, +same, 4, 5, 0, -before, 0, -coref.
+num, +same, 5, 6, 0, -before, 0, -coref.

+num, -same, 16, 0, 8, +before, 1, -coref.
+num, -same, 16, 0, 8, +before, 0, -coref.
-num, -same, 15, 1, 8, +before, 0, -coref.
-num, -same, 14, 2, 8, +before, 0, -coref.
+num, -same, 13, 3, 8, +before, 0, -coref.
+num, -same, 12, 4, 8, +before, 1, -coref.
-num, -same, 12, 4, 8, +before, 0, -coref.
-num, -same, 11, 5, 8, +before, 0, -coref.
-num, -same, 10, 6, 8, +before, 0, -coref.
-num, -same, 9, 7, 8, +before, 0, -coref.
-num, -same, 8, 8, 8, +before, 0, -coref.
+num, +same, 7, 0, 8, +before, 1, -coref.
+num, +same, 7, 0, 8, +before, 0, -coref.
+num, +same, 6, 1, 8, +before, 0, -coref.
+num, +same, 5, 2, 8, +before, 1, -coref.
+num, +same, 5, 2, 8, +before, 0, +coref.
+num, +same, 4, 3, 8, +before, 0, -coref.
+num, +same, 3, 4, 8, +before, 0, -coref.
+num, +same, 2, 5, 8, +before, 1, +coref.
+num, +same, 2, 5, 8, +before, 0, -coref.
+num, +same, 1, 6, 8, +before, 0, -coref.
+num, +same, 0, 7, 8, +before, 0, -coref.
-num, +same, 0, 9, 8, -before, 0, -coref.
-num, +same, 1, 10, 8, -before, 1, -coref.
-num, +same, 1, 10, 8, -before, 0, -coref.
-num, +same, 2, 11, 8, -before, 0, -coref.
+num, +same, 3, 12, 8, -before, 0, -coref.
-num, +same, 4, 13, 8, -before, 1, -coref.
+num, +same, 4, 13, 8, -before, 1, -coref.
+num, +same, 4, 13, 8, -before, 0, -coref.
+num, +same, 5, 14, 8, -before, 0, -coref.
+num, +same, 6, 15, 8, -before, 1, +coref.
+num, +same, 6, 15, 8, -before, 0, -coref.

+num, -same, 7, 0, 1, +before, 0, -coref.
+num, -same, 6, 1, 1, +before, 0, -coref.
+num, -same, 5, 2, 1, +before, 0, -coref.
+num, -same, 4, 3, 1, +before, 1, -coref.
+num, -same, 4, 3, 1, +before, 0, -coref.
-num, -same, 3, 4, 1, +before, 0, -coref.
+num, -same, 2, 5, 1, +before, 0, -coref.
+num, -same, 1, 6, 1, +before, 0, -coref.
+num, +same, 0, 0, 1, +before, 1, -coref.
+num, +same, 0, 0, 1, +before, 0, +coref.
+num, +same, 0, 2, 1, -before, 1, -coref.
+num, +same, 0, 2, 1, -before, 0, -coref.
+num, +same, 1, 3, 1, -before, 0, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
+num, +same, 2, 4, 1, -before, 1, -coref.
+num, +same, 2, 4, 1, -before, 0, -coref.
+num, +same, 3, 5, 1, -before, 1, -coref.
+num, +same, 3, 5, 1, -before, 0, -coref.
+num, +same, 4, 6, 1, -before, 0, +coref.

+num, -same, 6, 0, 3, +before, 0, -coref.
+num, -same, 5, 1, 3, +before, 0, -coref.
+num, -same, 4, 2, 3, +before, 1, -coref.
+num, -same, 4, 2, 3, +before, 1, -coref.
